Month,Oil Price Lag3
2020-04-01,57.52
2020-05-01,50.54
2020-06-01,29.21
2020-07-01,16.55
2020-08-01,28.56
2020-09-01,38.31
2020-10-01,40.71
2020-11-01,42.34
2020-12-01,39.63
2021-01-01,39.4
2021-02-01,40.94
2021-03-01,47.02
2021-04-01,52
2021-05-01,59.04
2021-06-01,62.33
2021-07-01,61.72
2021-08-01,65.17
2021-09-01,71.38
2021-10-01,72.49
2021-11-01,67.73
2021-12-01,71.65
2022-01-01,81.48
2022-02-01,79.15
2022-03-01,71.71
2022-04-01,83.22
2022-05-01,91.64
2022-06-01,108.5
2022-07-01,101.78
2022-08-01,109.55
2022-09-01,114.84
2022-10-01,101.62
2022-11-01,93.67
2022-12-01,84.26
2023-01-01,87.55
2023-02-01,84.37
2023-03-01,76.44
2023-04-01,78.12
2023-05-01,76.83
2023-06-01,73.28
2023-07-01,79.45
2023-08-01,71.58
2023-09-01,70.25
2023-10-01,76.07
2023-11-01,81.39
2023-12-01,89.43
2024-01-01,85.64
2024-02-01,77.69
2024-03-01,71.9
2024-04-01,74.15
2024-05-01,77.25
2024-06-01,81.28
2024-07-01,85.35
2024-08-01,80.02
2024-09-01,79.77
2024-10-01,81.8
2024-11-01,76.68
2024-12-01,70.24
2025-01-01,71.99
2025-02-01,69.95
2025-03-01,70.12
2025-04-01,75.74
2025-05-01,71.53
2025-06-01,68.24
2025-07-01,63.54
2025-08-01,62.17
2025-09-01,61
2025-10-01,59
2025-11-01,59
2025-12-01,58
2026-01-01,57
2026-02-01,57
2026-03-01,57
2026-04-01,56
2026-05-01,56
2026-06-01,56
2026-07-01,56
2026-08-01,57
2026-09-01,57
2026-10-01,56
2026-11-01,56
2026-12-01,55
